VisitorCookieID;2015-12-21;2015-12-22;2015-12-23;2015-12-24;2015-12-25;2015-12-26;2015-12-27;2015-12-28;2015-12-29;2015-12-30;2015-12-31;2016-01-01;2016-01-02;2016-01-03;2016-01-04;2016-01-05;2016-01-06;2016-01-07;2016-01-08;2016-01-09;2016-01-10;2016-01-11;2016-01-12;2016-01-13;2016-01-14;2016-01-15;2016-01-16;2016-01-17;2016-01-18;2016-01-19;2016-01-20;2016-01-21;2016-01-22;2016-01-23;2016-01-24;2016-01-25;2016-01-26;2016-01-27;2016-01-28;2016-01-29;2016-01-30
1002560564;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1004892116;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;
1007411169;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1008625492;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010952481;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1011636401;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;
1014935767;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
101785989;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
1019447708;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
1021913956;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024674267;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
1025089205;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;
1025249038;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
1028200492;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;2;;;;;;
1031114825;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
