CookieID;medium;DaysLastVisits;Device;numVisits;TotalEvents;avgTime;UniqueEvents;UniquePageviews;Label
1000017031;(none);0;mobile;1;21;519;1;13;NonPurchaser
1000331053;(none);0;tablet;1;15;429;1;5;NonPurchaser
1000624637;(none);0;desktop;1;7;116;1;4;NonPurchaser
1000927623;(none);0;mobile;1;8;174;1;7;NonPurchaser
1001550434;(none);0;desktop;1;7;825;1;3;NonPurchaser
1001568063;(none);0;desktop;1;0;298;1;10;NonPurchaser
1002127353;(none);0;desktop;1;88;3173;1;10;Purchase
1002711717;(none);0;tablet;1;20;285;1;7;NonPurchaser
1003032159;(none);0;desktop;1;18;828;1;4;NonPurchaser
1003608845;(none);0;desktop;1;6;156;1;6;NonPurchaser
1003667121;(none);0;desktop;1;0;9;1;2;NonPurchaser
100378985;(none);0;mobile;1;0;40;1;4;NonPurchaser
1003909610;(none);0;tablet;1;0;56;1;3;NonPurchaser
1003993404;(none);0;mobile;1;0;40;1;3;NonPurchaser
1004049368;(none);0;tablet;1;0;101;1;3;NonPurchaser
100427738;(none);0;tablet;1;7;368;1;4;NonPurchaser
100478045;(none);0;desktop;1;24;105;1;5;NonPurchaser
1004889437;(none);0;tablet;1;11;173;1;5;NonPurchaser
1004928924;(none);0;tablet;1;21;823;1;5;NonPurchaser
100506309;(none);0;desktop;1;25;560;1;8;NonPurchaser
1005621813;(none);0;tablet;1;0;21;1;2;NonPurchaser
1005958498;(none);0;tablet;1;6;183;1;4;NonPurchaser
1006138736;(none);0;desktop;1;39;375;1;9;NonPurchaser
1006468231;(none);0;desktop;1;9;207;1;5;NonPurchaser
100653940;(none);0;tablet;1;12;218;1;6;NonPurchaser
1007564178;(none);0;desktop;1;17;120;1;3;NonPurchaser
1007576512;(none);0;mobile;1;0;195;1;5;NonPurchaser
1008110931;(none);0;desktop;1;15;417;1;7;NonPurchaser
1008443575;(none);0;mobile;1;0;26;1;2;NonPurchaser
1008673601;(none);0;tablet;1;11;243;1;8;NonPurchaser
1008713159;(none);0;mobile;1;0;54;1;2;NonPurchaser
1008751016;(none);0;desktop;1;16;681;1;8;NonPurchaser
1008752909;(none);0;mobile;1;4;83;1;3;NonPurchaser
1008956478;(none);0;desktop;1;19;94;1;6;NonPurchaser
1008962906;(none);0;tablet;1;63;1393;1;10;NonPurchaser
1008967024;(none);0;mobile;1;51;1234;1;11;NonPurchaser
1008997055;(none);0;mobile;1;7;218;1;5;NonPurchaser
1009782501;(none);0;desktop;1;56;527;1;9;NonPurchaser
1009858106;(none);0;mobile;1;1;110;1;3;NonPurchaser
1010151180;(none);0;desktop;1;0;19;1;3;NonPurchaser
1010769956;(none);0;tablet;1;6;580;1;10;NonPurchaser
1011308021;(none);0;mobile;1;21;501;1;11;NonPurchaser
1011312256;(none);0;tablet;1;14;344;1;5;NonPurchaser
1011634951;(none);0;mobile;1;0;143;1;3;NonPurchaser
1012645874;(none);0;desktop;1;15;1068;1;4;NonPurchaser
1012966271;(none);0;desktop;1;93;445;1;8;NonPurchaser
1013297821;(none);0;mobile;1;0;238;1;6;NonPurchaser
1013438999;(none);0;mobile;1;1;143;1;3;NonPurchaser
101346941;(none);0;mobile;1;0;0;1;1;NonPurchaser
1013674249;(none);0;mobile;1;5;344;1;5;NonPurchaser
1013838032;(none);0;desktop;1;0;16;1;3;NonPurchaser
1014064387;(none);0;mobile;1;0;67;1;4;NonPurchaser
1014082404;(none);0;desktop;1;24;210;1;6;NonPurchaser
1014302813;(none);0;mobile;1;7;307;1;5;NonPurchaser
1014544780;(none);0;tablet;1;42;926;1;13;NonPurchaser
1014672353;(none);0;desktop;1;1;35;1;3;NonPurchaser
1014958149;(none);0;desktop;1;51;1560;1;9;NonPurchaser
1015271256;(none);0;mobile;1;17;190;1;3;NonPurchaser
1015980979;(none);0;mobile;1;0;140;1;2;NonPurchaser
1016194854;(none);0;mobile;1;25;181;1;4;NonPurchaser
1016429430;(none);0;mobile;1;13;187;1;4;NonPurchaser
10168184;(none);0;desktop;1;40;1081;1;14;NonPurchaser
101698821;(none);0;tablet;1;25;425;1;7;NonPurchaser
1017644302;(none);0;desktop;1;12;288;1;5;NonPurchaser
1017685875;(none);0;tablet;1;1;83;1;4;NonPurchaser
1018006240;(none);0;mobile;1;2;195;1;10;NonPurchaser
1018017953;(none);0;desktop;1;16;2830;1;9;NonPurchaser
1018873583;(none);0;desktop;1;0;23;1;1;NonPurchaser
1018943557;(none);0;desktop;1;17;564;1;9;Purchase
1019536754;(none);0;desktop;1;153;3549;1;17;NonPurchaser
10199226;(none);0;mobile;1;14;221;1;8;NonPurchaser
1019936297;(none);0;mobile;1;0;45;1;2;NonPurchaser
1020925501;(none);0;mobile;1;11;379;1;5;NonPurchaser
1021260103;(none);0;mobile;1;12;136;1;5;NonPurchaser
1021440172;(none);0;mobile;1;5;371;1;10;NonPurchaser
102158606;(none);0;mobile;1;3;194;1;7;NonPurchaser
1021626596;(none);0;mobile;1;17;430;1;7;NonPurchaser
1021967464;(none);0;desktop;1;26;648;1;7;NonPurchaser
1022189378;(none);0;mobile;1;8;410;1;6;NonPurchaser
1022381396;(none);0;mobile;1;23;483;1;8;NonPurchaser
1022477296;(none);0;mobile;1;0;302;1;10;NonPurchaser
1022756839;(none);0;desktop;1;34;1505;1;11;NonPurchaser
1023146551;(none);0;mobile;1;0;209;1;3;NonPurchaser
1023168666;(none);0;mobile;1;2;791;1;6;NonPurchaser
1023744055;(none);0;desktop;1;0;55;1;3;NonPurchaser
1023768111;(none);0;desktop;1;12;163;1;4;NonPurchaser
