CODE;VERSION;STATUS_CODE;ORIG_SALES_CHANNEL_CODE;CURR_SALES_CHANNEL_CODE;TRAVEL_AGENT_CODE;TRAVEL_AGENT_NAME;AGENT_CONTACT;LOYALTY_MEMBER_STATED;OFFER_CODE;DATE_CREATED;date;FIRST_EVENT;LAST_EVENT;CURRENCY_CODE;TOTAL_PRICE;SUB_SALES_CHANNEL_CODE;OLP_ID;PAYMENT_METHOD_CODE;PAYMENT_DATE;PAYMENT_DESCRIPTION;OUT_ROUTE_CODE;OUT_FERRY_CODE;OUT_PRODUCT_CODE;OUT_DEPARTURE_DATE;dptdate;daysahead;OUT_DEPARTURE_TIME;OUT_NO_OF_INFANT;OUT_NO_OF_ADULT;OUT_NO_OF_STUDENT;OUT_NO_OF_SENIOR;OUT_NO_OF_CHILD;OUT_VEHICLE_CATEGORY;OUT_VEHICLE_CATEGORY_DESC;OUT_CABIN_CODE;OUT_CABIN_DESCRIPTION;OUT_CABIN_NO_RESERVED;OUT_ROOM_CATEGORY_CODE;OUT_ROOM_CODE;OUT_ROOM_DESCRIPTION;HOME_ROUTE_CODE;HOME_FERRY_CODE;HOME_PRODUCT_CODE;HOME_DEPARTURE_DATE;returndate;cleandate;HOME_DEPARTURE_TIME;HOME_NO_OF_INFANT;HOME_NO_OF_ADULT;HOME_NO_OF_STUDENT;HOME_NO_OF_SENIOR;HOME_NO_OF_CHILD;HOME_VEHICLE_CATEGORY;HOME_VEHICLE_CATEGORY_DESC;HOME_CABIN_CODE;HOME_CABIN_DESCRIPTION;HOME_CABIN_NO_RESERVED;HOME_ROOM_CATEGORY_CODE;HOME_ROOM_CODE;HOME_ROOM_DESCRIPTION;CUSTOMER_ID;POSTCODE;TOWN;COUNTRY_CODE;HAS_STORED_PROFILE;LOYALTY_TYPE;LOYALTY_JOINED_DATE
70000056;1;CONFIRMED;PIB;PIB;;;;0;;2014-08-09 00:39:57.000;2014-08-09;2014-08-14 00:00:00.000;2014-08-14 23:50:00.000;SEK;1080.00;;;CC;2014-08-09 00:43:30.897;CC Credit Card in Call Centre;GOFR;DANI;XDDAGXBAD;2014-08-14 00:00:00.000;2014-08-14;5;915;;2;;;1;;;;;;RESTAURANT;DA09MET1B;Restaurant Metropolitan, 09.15-10.15;FRGO;JUTL;XDDAGXBAD;2014-08-14 00:00:00.000;2014-08-14;0;2015;;2;;;1;;;;;;;;;192711;41658;Göteborg;SWE;0;;
70000058;1;CONFIRMED;PIB;PIB;;;;0;;2014-09-23 21:41:27.000;2014-09-23;2014-10-01 00:00:00.000;2014-10-01 15:15:00.000;SEK;99.20;;;CC;2014-09-23 21:50:22.847;CC Credit Card in Call Centre;GOFR;DANI;XDSKRAP;2014-10-01 00:00:00.000;2014-10-01;8;800;;2;;;;;;;;;;;;FRGO;DANI;XDSKRAP;2014-10-01 00:00:00.000;2014-10-01;0;1150;;2;;;;;;;;;;;;31173;41745;Göteborg;SWE;1;STSWB;2015-04-05 00:00:00.000
70000074;1;CONFIRMED;PIB;PIB;;;;1;;2015-07-08 14:12:12.000;2015-07-08;2015-07-23 00:00:00.000;2015-07-25 23:20:00.000;SEK;3792.00;;;IB;2015-07-08 14:14:55.173;IB INTERNET BANK PAYMENT;GOFR;DANI;FLEXI;2015-07-23 00:00:00.000;2015-07-23;15;800;;2;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;RESTAURANT;DA06MET1;Restaurant Metropolitan, 08.00-09.15;FRGO;DANI;FLEXI;2015-07-25 00:00:00.000;2015-07-25;2;2000;;2;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;65725;442 90;Kungälv;SWE;1;STSWG;2003-11-24 00:00:00.000
70000114;2;CONFIRMED;PIB;PIB;;;;0;;2014-07-30 15:51:15.000;2014-07-30;2014-08-05 00:00:00.000;2014-08-06 09:15:00.000;SEK;2988.00;;;IB;2014-07-30 15:54:29.760;IB INTERNET BANK PAYMENT;GOKI;SCAN;ECONOMY;2014-08-05 00:00:00.000;2014-08-05;6;1845;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;FAM5I;Family 5-berth cabin inside;1;RESTAURANT;TY05BREAK;Breakfast Restaurant ;;;;;;noReturnTrip;;;;;;;;;;;;;;;208967;54394;Tibro;SWE;0;;
70000177;1;CONFIRMED;CCD;CCD;;;;0;;2015-07-11 10:40:58.000;2015-07-11;2015-07-15 00:00:00.000;2015-07-16 09:15:00.000;SEK;7465.00;;;CC;2015-07-11 10:50:20.990;CC Credit Card in Call Centre;GOKI;SCAN;ECONOMY;2015-07-15 00:00:00.000;2015-07-15;4;1845;3;4;;;2;CAR600200;Car, MPV, 4x4 up to 1.8m high;4I;4-berth inside cabin;2;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;113101;122 63;ENSKEDE;SWE;0;;
70000180;1;CONFIRMED;PIB;PIB;;;;0;;2014-07-01 10:03:12.000;2014-07-01;2014-07-02 00:00:00.000;2014-07-02 15:15:00.000;SEK;135.00;;;CC;2014-07-01 10:07:51.697;CC Credit Card in Call Centre;GOFR;JUTL;ECONOMY;2014-07-02 00:00:00.000;2014-07-02;1;1200;;1;;;;;;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;143322;8000;Århus;DNK;1;;
70000218;1;CONFIRMED;PIB;PIB;;;;1;;2014-06-23 15:33:23.000;2014-06-23;2014-07-27 00:00:00.000;2014-08-02 22:30:00.000;SEK;1788.00;;;CC;2014-06-23 15:35:44.203;CC Credit Card in Call Centre;TBSA;TREL;ECONOMY;2014-07-27 00:00:00.000;2014-07-27;34;745;;4;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;SATB;TREL;ECONOMY;2014-08-02 00:00:00.000;2014-08-02;6;1815;;4;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;51016;58642;Linköping;SWE;0;;
70000234;1;CONFIRMED;PIB;PIB;;;;1;CITYGROSS;2014-06-24 21:28:11.000;2014-06-24;2014-07-04 00:00:00.000;2014-08-03 22:30:00.000;SEK;1924.20;;;CC;2014-06-24 21:30:43.170;CC Credit Card in Call Centre;TBSA;SASS;ECONOMY;2014-07-04 00:00:00.000;2014-07-04;10;1830;;1;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;SATB;TREL;ECONOMY;2014-08-03 00:00:00.000;2014-08-03;30;1815;;1;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;11845;17438;Wolgast;DEU;1;STGEG;2013-01-17 00:00:00.000
70000246;1;CONFIRMED;MOB;MOB;;;;0;;2014-09-13 17:54:36.000;2014-09-13;2014-09-14 00:00:00.000;2014-09-15 06:15:00.000;SEK;779.00;;;CC;2014-09-13 17:56:04.053;CC Credit Card in Call Centre;RSTB;SKAN;ECONOMY;2014-09-14 00:00:00.000;2014-09-14;1;2245;;2;;;;CAR600200;Car, MPV, 4x4 up to 1.8m high;;;;;;;;;;;;noReturnTrip;;;;;;;;;;;;;;;202413;88030;Näsåker;SWE;0;;
70000254;1;CONFIRMED;PIB;PIB;;;;0;;2014-06-30 22:16:42.000;2014-06-30;2014-07-11 00:00:00.000;2014-07-11 19:30:00.000;SEK;1020.00;;;IB;2014-06-30 22:19:48.583;IB INTERNET BANK PAYMENT;GOFR;DANI;DAGXFOT;2014-07-11 00:00:00.000;2014-07-11;11;800;1;2;;;1;;;;;;RESTAURANT;DA06MET1;Restaurant Metropolitan, 08.00-09.15;FRGO;JUTL;DAGXFOT;2014-07-11 00:00:00.000;2014-07-11;0;1605;1;2;;;1;;;;;;RESTAURANT;JU16FOOD1;Restaurant Food City, 16.00-17.15;180735;44940;Nol;SWE;1;;
